order_item_id,order_id,product_id,quantity,unit_price
OI00001,O00001,P003,2,71.03
OI00002,O00002,P002,1,179.68
OI00003,O00002,P014,1,142.18
OI00004,O00003,P007,3,199.66
OI00005,O00003,P015,3,160.57
OI00006,O00003,P004,1,131.44
OI00007,O00004,P015,1,156.55
OI00008,O00005,P016,2,122.37
OI00009,O00005,P013,1,200.34
OI00010,O00005,P014,1,127.15
OI00011,O00005,P006,1,197.87
OI00012,O00006,P013,1,187.28
OI00013,O00007,P016,1,131.86
OI00014,O00008,P002,1,180.9
OI00015,O00009,P008,1,180.71
OI00016,O00010,P016,1,112.83
OI00017,O00010,P011,1,125.91
OI00018,O00011,P014,2,149.0
OI00019,O00012,P009,2,57.55
OI00020,O00013,P008,1,208.2
OI00021,O00014,P016,1,112.91
OI00022,O00015,P004,2,139.87
OI00023,O00016,P009,2,61.28
OI00024,O00017,P013,1,183.85
OI00025,O00017,P015,1,172.52
OI00026,O00018,P003,1,72.79
OI00027,O00019,P013,3,190.61
OI00028,O00020,P013,1,201.3
OI00029,O00020,P007,1,229.26
OI00030,O00021,P013,1,203.28
OI00031,O00022,P010,1,72.88
OI00032,O00023,P014,1,133.1
OI00033,O00023,P002,1,172.41
OI00034,O00024,P003,1,67.06
OI00035,O00025,P006,1,172.69
OI00036,O00025,P003,1,61.65
OI00037,O00026,P008,1,194.71
OI00038,O00027,P013,1,202.71
OI00039,O00028,P005,1,38.83
OI00040,O00028,P016,1,120.89
OI00041,O00029,P008,1,207.73
OI00042,O00029,P006,1,166.84
OI00043,O00030,P015,2,151.52
OI00044,O00031,P010,1,71.4
OI00045,O00032,P013,1,215.08
OI00046,O00032,P009,1,61.03
OI00047,O00033,P003,1,68.41
OI00048,O00033,P002,1,174.13
OI00049,O00034,P004,1,121.19
OI00050,O00034,P001,1,92.3
OI00051,O00035,P005,1,32.0
OI00052,O00036,P005,1,37.62
OI00053,O00036,P006,1,175.71
OI00054,O00036,P016,1,131.58
OI00055,O00037,P001,1,83.78
OI00056,O00037,P014,2,149.58
OI00057,O00038,P015,2,165.64
OI00058,O00038,P004,1,132.86
OI00059,O00039,P007,1,228.37
OI00060,O00040,P006,1,166.85
OI00061,O00040,P016,1,125.48
OI00062,O00040,P015,3,155.01
OI00063,O00041,P015,1,171.82
OI00064,O00042,P011,1,128.97
OI00065,O00042,P002,1,156.34
OI00066,O00043,P006,1,181.05
OI00067,O00044,P001,1,88.99
OI00068,O00044,P008,1,201.09
OI00069,O00044,P003,1,66.13
OI00070,O00045,P008,1,183.71
OI00071,O00045,P005,1,37.6
OI00072,O00046,P009,1,66.67
OI00073,O00046,P013,1,208.34
OI00074,O00047,P008,1,215.15
OI00075,O00048,P008,1,188.82
OI00076,O00048,P004,1,132.2
OI00077,O00048,P013,1,182.9
OI00078,O00048,P012,1,73.91
OI00079,O00049,P011,1,142.28
OI00080,O00049,P012,2,78.96
OI00081,O00050,P002,2,155.83
OI00082,O00050,P005,2,33.67
OI00083,O00051,P005,1,33.81
OI00084,O00052,P003,1,68.93
OI00085,O00052,P007,2,214.91
OI00086,O00052,P009,1,61.51
OI00087,O00053,P012,1,79.28
OI00088,O00053,P014,1,135.27
OI00089,O00054,P005,1,35.41
OI00090,O00055,P015,1,173.3
OI00091,O00055,P001,1,81.71
OI00092,O00056,P010,2,65.87
OI00093,O00056,P003,1,62.8
OI00094,O00056,P014,1,148.83
OI00095,O00057,P008,1,203.15
OI00096,O00057,P007,1,215.91
OI00097,O00058,P011,2,154.41
OI00098,O00059,P004,1,125.09
OI00099,O00060,P005,1,36.34
OI00100,O00060,P002,1,163.72
OI00101,O00060,P009,1,63.61
OI00102,O00061,P004,1,125.53
OI00103,O00062,P008,1,203.86
OI00104,O00062,P009,1,66.04
OI00105,O00063,P013,1,179.41
OI00106,O00064,P003,1,72.83
OI00107,O00065,P014,1,144.79
OI00108,O00065,P006,2,191.66
OI00109,O00065,P009,1,55.03
OI00110,O00066,P010,1,69.14
OI00111,O00067,P005,1,32.4
OI00112,O00067,P016,2,138.19
OI00113,O00068,P003,1,69.41
OI00114,O00068,P005,2,32.25
OI00115,O00069,P010,1,72.59
OI00116,O00069,P011,1,146.23
OI00117,O00070,P009,1,63.63
OI00118,O00070,P003,2,69.45
OI00119,O00071,P003,1,72.8
OI00120,O00072,P006,1,172.18
OI00121,O00073,P001,1,90.66
