order_id,customer_id,order_date,marketing_channel,total_amount,order_status
O00001,C0398,2025-05-18,Organic Search,142.06,Completed
O00002,C0053,2025-07-15,Organic Search,321.86,Completed
O00003,C0341,2025-08-02,Organic Search,1212.13,Completed
O00004,C0566,2025-09-03,Organic Search,156.55,Completed
O00005,C0478,2026-05-25,Organic Search,770.1,Completed
O00006,C0303,2026-03-04,Organic Search,187.28,Completed
O00007,C0264,2025-12-12,Referral,131.86,Completed
O00008,C0738,2025-05-24,Email,180.9,Completed
O00009,C0783,2025-02-19,Organic Search,180.71,Completed
O00010,C0383,2026-04-12,Organic Search,238.74,Completed
O00011,C0549,2025-10-09,Social,298.0,Completed
O00012,C0537,2025-04-09,Organic Search,115.1,Completed
O00013,C0416,2026-01-18,Paid Search,208.2,Completed
O00014,C0096,2025-02-02,Paid Search,112.91,Completed
O00015,C0445,2026-05-27,Email,279.74,Completed
O00016,C0278,2026-05-02,Organic Search,122.56,Completed
O00017,C0017,2025-11-19,Social,356.37,Completed
O00018,C0394,2025-12-06,Referral,72.79,Completed
O00019,C0238,2026-03-24,Referral,571.83,Completed
O00020,C0503,2026-04-07,Organic Search,430.56,Completed
O00021,C0731,2025-09-10,Organic Search,203.28,Completed
O00022,C0370,2025-11-21,Organic Search,72.88,Completed
O00023,C0192,2025-03-31,Paid Search,305.51,Completed
O00024,C0013,2026-01-30,Organic Search,67.06,Cancelled
O00025,C0586,2025-09-06,Paid Search,234.34,Completed
O00026,C0496,2025-11-03,Referral,194.71,Completed
O00027,C0110,2026-04-14,Organic Search,202.71,Completed
O00028,C0451,2025-12-04,Organic Search,159.72,Returned
O00029,C0299,2025-11-23,Referral,374.57,Completed
O00030,C0699,2025-07-04,Referral,303.04,Completed
O00031,C0419,2025-03-12,Email,71.4,Completed
O00032,C0076,2026-01-22,Paid Search,276.11,Completed
O00033,C0719,2026-01-04,Social,242.54,Completed
O00034,C0771,2026-02-14,Organic Search,213.49,Completed
O00035,C0457,2025-08-15,Paid Search,32.0,Completed
O00036,C0088,2026-03-02,Organic Search,344.91,Completed
O00037,C0308,2025-03-10,Organic Search,382.94,Completed
O00038,C0566,2025-06-28,Organic Search,464.14,Completed
O00039,C0461,2025-07-22,Email,228.37,Completed
O00040,C0592,2025-03-06,Organic Search,757.36,Completed
O00041,C0602,2026-02-06,Organic Search,171.82,Completed
O00042,C0630,2025-11-01,Email,285.31,Completed
O00043,C0589,2025-05-22,Paid Search,181.05,Completed
O00044,C0462,2025-11-19,Email,356.21,Completed
O00045,C0501,2026-03-31,Organic Search,221.31,Completed
O00046,C0563,2026-05-23,Paid Search,275.01,Completed
O00047,C0560,2026-03-28,Organic Search,215.15,Completed
O00048,C0090,2025-12-23,Paid Search,577.83,Completed
O00049,C0546,2025-12-26,Organic Search,300.2,Completed
O00050,C0139,2025-04-08,Social,379.0,Completed
O00051,C0780,2025-09-11,Referral,33.81,Completed
O00052,C0078,2026-04-08,Email,560.26,Completed
O00053,C0749,2025-04-06,Social,214.55,Completed
O00054,C0331,2025-10-02,Referral,35.41,Completed
O00055,C0048,2025-02-19,Organic Search,255.01,Returned
O00056,C0706,2025-07-27,Social,343.37,Completed
O00057,C0641,2026-02-10,Organic Search,419.06,Completed
O00058,C0532,2025-08-20,Email,308.82,Completed
O00059,C0490,2025-05-16,Organic Search,125.09,Completed
O00060,C0793,2026-01-27,Referral,263.67,Completed
O00061,C0223,2026-03-30,Organic Search,125.53,Returned
O00062,C0144,2025-11-19,Organic Search,269.9,Completed
O00063,C0211,2025-11-05,Paid Search,179.41,Completed
O00064,C0507,2025-09-03,Paid Search,72.83,Cancelled
O00065,C0136,2025-11-21,Paid Search,583.14,Completed
O00066,C0062,2025-02-10,Social,69.14,Completed
O00067,C0085,2026-02-16,Email,308.78,Completed
O00068,C0401,2025-12-01,Email,133.91,Completed
O00069,C0119,2026-03-21,Paid Search,218.82,Completed
O00070,C0509,2025-06-17,Social,202.53,Completed
O00071,C0344,2025-01-31,Referral,72.8,Completed
O00072,C0467,2026-05-24,Paid Search,172.18,Completed
O00073,C0234,2025-04-29,Referral,90.66,Completed
O00074,C0184,2025-06-03,Social,453.6,Completed
O00075,C0184,2025-02-23,Organic Search,307.58,Completed
O00076,C0793,2025-10-17,Referral,151.22,Completed
O00077,C0758,2025-11-08,Email,398.97,Completed
O00078,C0155,2025-09-09,Organic Search,200.4,Completed
O00079,C0344,2025-01-10,Organic Search,261.27,Cancelled
O00080,C0729,2025-05-26,Organic Search,391.36,Completed
O00081,C0470,2026-01-17,Social,132.32,Completed
O00082,C0446,2025-03-05,Email,66.46,Completed
O00083,C0326,2025-12-01,Paid Search,229.17,Completed
O00084,C0169,2025-04-19,Paid Search,141.09,Completed
O00085,C0475,2025-11-12,Organic Search,348.08,Completed
O00086,C0221,2025-02-11,Referral,72.7,Completed
O00087,C0694,2025-02-20,Organic Search,680.86,Completed
O00088,C0800,2025-03-05,Social,203.13,Completed
O00089,C0077,2025-09-23,Organic Search,295.14,Completed
O00090,C0126,2025-12-06,Organic Search,357.82,Completed
O00091,C0031,2026-05-24,Paid Search,73.59,Completed
O00092,C0036,2025-06-02,Email,255.79,Completed
O00093,C0659,2025-07-24,Social,393.31,Completed
O00094,C0330,2026-05-30,Paid Search,126.42,Completed
O00095,C0060,2025-10-15,Referral,86.91,Cancelled
O00096,C0254,2025-04-13,Email,184.72,Completed
O00097,C0364,2026-02-02,Social,446.58,Returned
O00098,C0556,2026-05-20,Organic Search,67.64,Completed
O00099,C0001,2026-05-05,Organic Search,388.16,Completed
O00100,C0793,2025-05-26,Organic Search,240.89,Completed
O00101,C0162,2025-05-20,Referral,117.22,Returned
O00102,C0229,2026-01-01,Email,221.12,Completed
O00103,C0790,2026-02-05,Social,307.62,Completed
O00104,C0509,2025-04-17,Organic Search,875.98,Completed
O00105,C0458,2025-12-10,Organic Search,70.2,Completed
O00106,C0396,2025-02-19,Paid Search,362.36,Completed
O00107,C0104,2026-01-20,Referral,266.65,Completed
O00108,C0076,2025-04-18,Paid Search,445.1,Completed
O00109,C0622,2025-06-18,Social,141.35,Completed
O00110,C0677,2025-09-29,Organic Search,170.71,Completed
O00111,C0370,2025-02-25,Organic Search,113.33,Completed
O00112,C0084,2025-10-26,Paid Search,214.03,Completed
O00113,C0190,2026-02-01,Paid Search,172.49,Completed
O00114,C0276,2025-08-20,Email,124.45,Completed
O00115,C0567,2025-08-21,Organic Search,427.89,Returned
O00116,C0488,2025-08-30,Organic Search,183.06,Completed
O00117,C0124,2025-05-31,Social,579.3,Completed
O00118,C0081,2026-03-10,Social,67.46,Completed
O00119,C0090,2025-03-10,Paid Search,281.46,Completed
O00120,C0718,2025-01-13,Email,305.27,Returned
O00121,C0577,2025-04-19,Referral,241.74,Completed
O00122,C0413,2025-10-10,Organic Search,296.01,Completed
O00123,C0382,2025-10-03,Organic Search,101.55,Completed
O00124,C0308,2025-05-18,Social,137.73,Completed
O00125,C0453,2025-07-12,Organic Search,512.62,Completed
O00126,C0178,2025-01-30,Organic Search,488.85,Completed
O00127,C0698,2025-05-07,Organic Search,173.73,Completed
O00128,C0353,2025-12-25,Organic Search,288.55,Completed
O00129,C0668,2025-10-03,Paid Search,84.21,Completed
O00130,C0230,2025-01-09,Organic Search,290.23,Completed
O00131,C0224,2025-09-16,Paid Search,272.29,Completed
O00132,C0306,2025-10-17,Email,432.81,Completed
O00133,C0672,2025-09-25,Email,333.44,Completed
O00134,C0739,2025-05-24,Organic Search,67.95,Completed
O00135,C0598,2025-02-06,Email,396.62,Completed
O00136,C0520,2026-01-03,Organic Search,180.34,Completed
O00137,C0697,2025-07-07,Social,406.02,Completed
O00138,C0475,2025-10-29,Referral,62.02,Completed
O00139,C0543,2026-01-26,Organic Search,33.3,Completed
O00140,C0147,2026-04-14,Organic Search,249.9,Completed
O00141,C0780,2025-08-03,Referral,576.21,Completed
O00142,C0489,2026-03-16,Paid Search,237.3,Completed
O00143,C0019,2025-07-15,Email,314.08,Completed
O00144,C0067,2025-06-21,Referral,69.41,Completed
O00145,C0704,2026-03-21,Social,117.6,Returned
O00146,C0020,2026-02-18,Organic Search,161.24,Completed
O00147,C0385,2025-02-08,Referral,153.05,Completed
O00148,C0050,2025-01-21,Email,187.57,Completed
O00149,C0712,2025-07-30,Email,141.93,Completed
O00150,C0429,2025-05-21,Referral,136.27,Completed
O00151,C0797,2025-07-24,Organic Search,389.01,Completed
O00152,C0339,2026-05-08,Organic Search,141.74,Completed
O00153,C0093,2025-06-02,Referral,265.02,Completed
O00154,C0271,2025-10-31,Paid Search,389.52,Completed
O00155,C0437,2025-11-17,Referral,156.23,Completed
O00156,C0367,2025-12-03,Social,447.34,Completed
O00157,C0432,2026-05-05,Email,239.89,Completed
O00158,C0583,2026-05-10,Email,202.35,Completed
O00159,C0495,2025-05-14,Social,124.79,Completed
O00160,C0722,2025-01-13,Referral,534.93,Completed
O00161,C0494,2025-09-12,Paid Search,580.59,Completed
O00162,C0518,2025-06-10,Referral,834.7,Completed
O00163,C0081,2025-08-29,Paid Search,487.87,Completed
O00164,C0414,2025-04-16,Paid Search,224.87,Completed
O00165,C0671,2025-07-31,Email,408.99,Completed
O00166,C0117,2026-04-09,Organic Search,460.22,Completed
O00167,C0047,2025-04-19,Social,140.45,Completed
O00168,C0221,2026-02-07,Paid Search,301.94,Completed
O00169,C0469,2026-04-07,Email,540.82,Returned
O00170,C0709,2025-07-01,Email,374.46,Completed
O00171,C0281,2025-09-12,Paid Search,63.84,Completed
O00172,C0719,2025-11-03,Email,222.57,Completed
O00173,C0689,2025-12-20,Organic Search,250.38,Completed
O00174,C0691,2026-03-04,Referral,343.98,Completed
O00175,C0294,2025-06-14,Email,161.75,Completed
O00176,C0368,2025-02-03,Referral,197.37,Completed
O00177,C0710,2025-10-22,Email,893.99,Completed
O00178,C0231,2026-03-30,Social,289.66,Completed
O00179,C0182,2026-04-05,Social,167.05,Completed
O00180,C0570,2025-10-13,Organic Search,60.06,Returned
O00181,C0158,2025-02-10,Social,342.99,Completed
